wikidataID	lang	label	description	alias	P31_is_a	P17_state	P131_provinz	P131_county	P131_barony	P131_civilparish	P131_electoraldevision	P625_coord	P402_osm	P5097_logainm	P1545_geohive	ciic	count	P973_link_townland_ie	comment
Q85395620	en	Ballintermon	Ballintermon Townland, Co. Kerry	Baile an Tearmainn	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553502	Q59725007	52.1552778,-10.03138888888889	6186014	22456		164,165	2	https://www.townlands.ie/kerry/corkaguiny/ballynacourty/ballinvoher/ballintermon/	
Q85395552	en	Ballinvoher			Q2221906	Q27	Q131438	Q184469	Q59419929			52.1869444,-10.159444444444444				166	1		location unknown in http://webgis.archaeology.ie/historicenvironment (KE045-105). coordinate by https://www.townlands.ie/kerry/corkaguiny/
Q85395515	en	Ballyandreen	Ballyandreen Townland, Co. Kerry	Baile Aindrín	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553391	Q59725007	52.1658333,-10.0375	6185905	22441		167,168	2	https://www.townlands.ie/kerry/corkaguiny/ballinvoher/ballinvoher/ballyandreen/	
Q85395517	en	Ballyeightragh	Ballyeightragh Townland, Co. Kerry	An Baile Íochtarach	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60554705	Q59725025	52.1605556,-10.323333333333332	6201257	22647		169	1	https://www.townlands.ie/kerry/corkaguiny/kildrum/glin/ballyeightragh/	descision for this townland, as it covers more of the stream than the other one right next to it. Description by MacAlister says the two stones were dislodged by a flood of this stream. 
Q85395592	en	Ballymorereagh	Ballymorereagh Townland, Co. Kerry	An Baile Riabhach	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553996	Q59725025	52.1513889,-10.3275	6201254	22607		170	1	https://www.townlands.ie/kerry/corkaguiny/dingle/glin/ballymorereagh/	
Q85395518	en	Ballynahunt	Ballynahunt Townland, Co. Kerry	Baile na Hunta	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553391	Q59725007	52.1875,-10.029722222222222	6148930	22443		171	1	https://www.townlands.ie/kerry/corkaguiny/ballinvoher/ballinvoher/ballynahunt/	
Q85395519	en	Ballywiheen / Cahernagat	Ballywiheen Townland, Co. Kerry	Baile Uí Bhaoithín	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60555877	Q59725035	52.1558333,-10.400833333333333	6196083	22742		172	1	https://www.townlands.ie/kerry/corkaguiny/marhin/marhin/ballywiheen/	
Q85395554	en	Brackloon	Brackloon Townland, Co. Kerry	An Bhreac-chluain	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553502	Q59725007	52.1469444,-10.036388888888888	6186041	22457		173	1	https://www.townlands.ie/kerry/corkaguiny/ballynacourty/ballinvoher/brackloon/	
Q85395555	en	Brandon Mountain			Q2221906	Q27	Q131438	Q184469	Q59419929			52.1869444,-10.159444444444444				174	1		location unknown as Brandon Mountain is not a townland. Brandon point might have been meant.coordinate by https://www.townlands.ie/kerry/corkaguiny/
Q85395594	en	Burnham East Townland	Burnham East Townland, Co. Kerry	Baile an Ghóilín 	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553996	Q59725025	52.1258333,-10.306944444444445	4295140	22609		175	1	https://www.townlands.ie/kerry/corkaguiny/dingle/glin/burnham-east/	As it is located in Burnham East today, it is assumed this is the original townland as well
